Unnamed: 0,avg_logisticLasso_mu,F1_avg,AUC_avg,Precision_avg,Recall_avg
mutation_ADAMTS3,avg_logisticLasso_mu,0.965354,0.98873,0.971322,0.970045
mutation_PPP1R9A,avg_logisticLasso_mu,0.973205,nan,0.976788,0.975868
mutation_PCDHGA12,avg_logisticLasso_mu,0.975049,0.997338,0.978478,0.977517
mutation_PTPRK,avg_logisticLasso_mu,0.963695,0.983074,0.97082,0.969205
mutation_ANKHD1,avg_logisticLasso_mu,0.968878,0.981664,0.973819,0.972528
mutation_PCDHB7,avg_logisticLasso_mu,0.975061,0.991098,0.978506,0.977521
mutation_NUP155,avg_logisticLasso_mu,0.975966,0.992875,0.979009,0.978364
mutation_CDHR2,avg_logisticLasso_mu,0.966018,0.985784,0.972261,0.970878
mutation_FAT2,avg_logisticLasso_mu,0.982706,0.999746,0.98386,0.983361
mutation_MYO1D,avg_logisticLasso_mu,0.973878,0.99297,0.97732,0.976719
mutation_DOPEY1,avg_logisticLasso_mu,0.967979,0.98847,0.972961,0.971698
mutation_BRCA1,avg_logisticLasso_mu,0.971911,0.987182,0.975907,0.975038
mutation_RLF,avg_logisticLasso_mu,0.971956,0.990324,0.976243,0.975024
mutation_EFCAB5,avg_logisticLasso_mu,0.968592,0.996458,0.973422,0.972552
mutation_COL21A1,avg_logisticLasso_mu,0.963361,0.990479,0.969807,0.968378
mutation_AK9,avg_logisticLasso_mu,0.973961,0.975856,0.977523,0.976698
mutation_A2ML1,avg_logisticLasso_mu,0.97217,nan,0.97606,0.975028
mutation_DPP10,avg_logisticLasso_mu,0.971348,0.996712,0.976058,0.975028
mutation_KNTC1,avg_logisticLasso_mu,0.967199,0.996045,0.972332,0.971725
mutation_ANK2,avg_logisticLasso_mu,0.965516,0.99679,0.968676,0.967566
mutation_ATP7B,avg_logisticLasso_mu,0.962439,0.988007,0.968046,0.967552
mutation_ZNF516,avg_logisticLasso_mu,0.973121,0.982408,0.976804,0.975861
mutation_SEMA5A,avg_logisticLasso_mu,0.973829,0.99019,0.977437,0.976719
mutation_GOLGA2,avg_logisticLasso_mu,0.969866,0.99598,0.973056,0.973378
mutation_USP42,avg_logisticLasso_mu,0.96511,0.987014,0.971191,0.970055
mutation_ROCK1,avg_logisticLasso_mu,0.974861,0.985755,0.978212,0.977548
mutation_CDH12,avg_logisticLasso_mu,0.964396,0.995233,0.971885,0.970017
mutation_DPYD,avg_logisticLasso_mu,0.971986,0.981034,0.976041,0.975028
mutation_RGS22,avg_logisticLasso_mu,0.958274,0.997115,0.967439,0.965024
mutation_NLRP12,avg_logisticLasso_mu,0.964944,0.95769,0.971467,0.970041
mutation_SVEP1,avg_logisticLasso_mu,0.976623,0.997013,0.978384,0.977528
mutation_INADL,avg_logisticLasso_mu,0.97094,0.992351,0.975057,0.974212
mutation_ZC3H4,avg_logisticLasso_mu,0.975466,0.997496,0.97892,0.978382
mutation_ABCA10,avg_logisticLasso_mu,0.967182,0.990939,0.972838,0.971705
mutation_ABL2,avg_logisticLasso_mu,0.972468,0.989491,0.976651,0.975875
mutation_ADAMTS5,avg_logisticLasso_mu,0.970798,0.99106,0.9752,0.974208
mutation_GRIA1,avg_logisticLasso_mu,0.967373,0.984121,0.973126,0.971701
mutation_PDE1C,avg_logisticLasso_mu,0.965422,0.987542,0.971345,0.970038
mutation_DIP2A,avg_logisticLasso_mu,0.967076,0.98908,0.97281,0.971708
mutation_NTRK3,avg_logisticLasso_mu,0.967582,0.975562,0.972929,0.971705
mutation_IQGAP3,avg_logisticLasso_mu,0.963338,0.992201,0.969931,0.968371
mutation_PLXNB1,avg_logisticLasso_mu,0.965547,0.99071,0.969453,0.967524
mutation_WIZ,avg_logisticLasso_mu,0.973031,0.997287,0.977449,0.976719
mutation_AGL,avg_logisticLasso_mu,0.957901,0.983838,0.96799,0.965864
mutation_ERCC6,avg_logisticLasso_mu,0.972866,0.978803,0.97676,0.975868
mutation_PTPN23,avg_logisticLasso_mu,0.962255,0.986441,0.9696,0.967521
mutation_RPL22,avg_logisticLasso_mu,0.990527,0.991014,0.990961,0.991684
mutation_CNTN1,avg_logisticLasso_mu,0.967236,0.978353,0.972193,0.970868
mutation_PLEKHG4B,avg_logisticLasso_mu,0.972794,0.994521,0.976575,0.975892
mutation_COL6A1,avg_logisticLasso_mu,0.967346,0.989573,0.972987,0.971698
mutation_SNRNP200,avg_logisticLasso_mu,0.969716,0.996914,0.972762,0.973344
mutation_TRIP11,avg_logisticLasso_mu,0.969565,0.984336,0.975103,0.974222
mutation_VPS13C,avg_logisticLasso_mu,0.972006,0.991481,0.974361,0.973389
mutation_ARHGAP33,avg_logisticLasso_mu,0.97685,0.991849,0.979804,0.979201
mutation_VWA3B,avg_logisticLasso_mu,0.965553,0.995075,0.97128,0.970045
mutation_FAM193A,avg_logisticLasso_mu,0.962456,0.980103,0.970091,0.968382
mutation_ADAMTS17,avg_logisticLasso_mu,0.965382,0.994118,0.970602,0.970048
mutation_MEGF6,avg_logisticLasso_mu,0.977888,0.987971,0.979679,0.980045
mutation_PNPLA6,avg_logisticLasso_mu,0.980509,0.990051,0.982932,0.982535
mutation_PHIP,avg_logisticLasso_mu,0.96315,0.997391,0.968703,0.968378
mutation_CD109,avg_logisticLasso_mu,0.964218,0.984916,0.970485,0.969222
mutation_ARID4A,avg_logisticLasso_mu,0.95693,0.992427,0.965144,0.964215
mutation_CADPS,avg_logisticLasso_mu,0.963364,0.987147,0.969689,0.968375
mutation_MT-ND1,avg_logisticLasso_mu,0.972833,0.993442,0.975268,0.974232
mutation_CILP2,avg_logisticLasso_mu,0.97597,0.996036,0.980053,0.979201
mutation_WRN,avg_logisticLasso_mu,0.973061,0.99069,0.976671,0.975878
mutation_TULP4,avg_logisticLasso_mu,0.973039,0.995545,0.975383,0.975858
mutation_PCDHA1,avg_logisticLasso_mu,0.966506,0.995847,0.973506,0.971698
mutation_GRID2,avg_logisticLasso_mu,0.969469,0.998353,0.975894,0.974187
mutation_CDK5RAP2,avg_logisticLasso_mu,0.977081,0.994211,0.979804,0.979208
mutation_TTLL5,avg_logisticLasso_mu,0.976086,0.998146,0.978951,0.978371
mutation_MAGI3,avg_logisticLasso_mu,0.977682,0.986689,0.980636,0.980031
mutation_DICER1,avg_logisticLasso_mu,0.969714,0.992567,0.974522,0.973361
mutation_PIK3CG,avg_logisticLasso_mu,0.967099,0.978323,0.975058,0.97251
mutation_SPEG,avg_logisticLasso_mu,0.968356,0.996764,0.972094,0.970038
mutation_USH2A,avg_logisticLasso_mu,0.981501,0.99869,0.982115,0.981708
mutation_SLIT1,avg_logisticLasso_mu,0.9711,0.981979,0.975864,0.975041
mutation_ARHGAP31,avg_logisticLasso_mu,0.974107,0.982579,0.977481,0.976698
mutation_MRC2,avg_logisticLasso_mu,0.966083,0.990875,0.972509,0.970861
mutation_PTPRU,avg_logisticLasso_mu,0.973334,0.985204,0.977402,0.976719
mutation_TIE1,avg_logisticLasso_mu,0.981048,0.995013,0.982984,0.982528
mutation_REXO1,avg_logisticLasso_mu,0.960252,0.990361,0.968884,0.966691
mutation_CENPC,avg_logisticLasso_mu,0.962878,0.994286,0.970703,0.968347
mutation_CEL,avg_logisticLasso_mu,0.977047,0.99672,0.979398,0.979208
mutation_IRS2,avg_logisticLasso_mu,0.972622,0.993715,0.97612,0.975882
mutation_ROBO3,avg_logisticLasso_mu,0.97467,0.977447,0.978587,0.977524
mutation_CENPF,avg_logisticLasso_mu,0.97261,0.998827,0.975608,0.974205
mutation_IQGAP2,avg_logisticLasso_mu,0.970857,0.990378,0.975161,0.974201
mutation_MIA3,avg_logisticLasso_mu,0.975108,0.974913,0.978292,0.977528
mutation_PRG4,avg_logisticLasso_mu,0.970335,0.986097,0.975401,0.974201
mutation_LUZP1,avg_logisticLasso_mu,0.975563,0.997004,0.978909,0.978392
mutation_PCDH19,avg_logisticLasso_mu,0.975852,0.994494,0.979111,0.978358
mutation_CLSTN2,avg_logisticLasso_mu,0.974653,0.998097,0.978446,0.977521
mutation_USP9X,avg_logisticLasso_mu,0.970781,0.999673,0.975579,0.97418
mutation_USP28,avg_logisticLasso_mu,0.958381,0.991726,0.966588,0.965055
mutation_NBR1,avg_logisticLasso_mu,0.96492,0.992088,0.971232,0.970066
mutation_EPRS,avg_logisticLasso_mu,0.961936,0.970107,0.968667,0.967548
mutation_FBN2,avg_logisticLasso_mu,0.968439,0.997643,0.971336,0.970035
mutation_NFATC1,avg_logisticLasso_mu,0.970927,0.984049,0.975278,0.974198
mutation_RPRD2,avg_logisticLasso_mu,0.968202,0.987836,0.973521,0.972538
mutation_SEZ6L,avg_logisticLasso_mu,0.971717,0.987859,0.975728,0.975059
mutation_CFH,avg_logisticLasso_mu,0.959467,0.961456,0.9665,0.965885
mutation_ITGAX,avg_logisticLasso_mu,0.965189,0.994094,0.971464,0.970031
mutation_TDRD15,avg_logisticLasso_mu,0.970777,0.994414,0.975344,0.974194
mutation_PCDHA10,avg_logisticLasso_mu,0.963375,0.982553,0.968434,0.968382
mutation_CHD2,avg_logisticLasso_mu,0.968526,0.953894,0.973525,0.972541
mutation_TDRD9,avg_logisticLasso_mu,0.973696,0.996871,0.977435,0.976705
mutation_LIFR,avg_logisticLasso_mu,0.967689,0.991687,0.972763,0.971712
mutation_TICAM1,avg_logisticLasso_mu,0.964625,0.99676,0.969058,0.966698
mutation_UNC5C,avg_logisticLasso_mu,0.966621,0.985961,0.972831,0.971712
mutation_SLC4A8,avg_logisticLasso_mu,0.964046,0.993972,0.970756,0.969198
mutation_PLEKHH2,avg_logisticLasso_mu,0.96485,0.989614,0.970576,0.970069
mutation_NINL,avg_logisticLasso_mu,0.961134,0.996252,0.967129,0.966712
mutation_TTC21B,avg_logisticLasso_mu,0.963159,0.989473,0.969874,0.968371
mutation_MYO5A,avg_logisticLasso_mu,0.977543,0.998508,0.980854,0.980021
mutation_KANK1,avg_logisticLasso_mu,0.96731,0.985508,0.972873,0.971719
mutation_ADAMTS13,avg_logisticLasso_mu,0.969848,0.989292,0.973478,0.973358
mutation_PLEKHG3,avg_logisticLasso_mu,0.983708,0.98855,0.985426,0.985028
mutation_SHPRH,avg_logisticLasso_mu,0.97569,0.990261,0.97696,0.978378
mutation_TCHH,avg_logisticLasso_mu,0.981908,0.997101,0.982794,0.982535
mutation_ACVR2A,avg_logisticLasso_mu,0.976172,0.996382,0.978875,0.978347
mutation_PLEKHA7,avg_logisticLasso_mu,0.970559,0.985104,0.975152,0.974205
mutation_SBNO2,avg_logisticLasso_mu,0.968626,0.981153,0.973661,0.972538
mutation_DGKI,avg_logisticLasso_mu,0.963943,0.988,0.970498,0.969212
mutation_MAN2A1,avg_logisticLasso_mu,0.981984,0.998407,0.983828,0.983351
mutation_CCDC39,avg_logisticLasso_mu,0.963025,0.977501,0.968953,0.968399
mutation_PCDHB8,avg_logisticLasso_mu,0.963905,0.996221,0.970706,0.969205
mutation_DDX60,avg_logisticLasso_mu,0.963397,0.988242,0.970745,0.969205
mutation_UNC13A,avg_logisticLasso_mu,0.961206,0.991026,0.966794,0.967531
mutation_C7,avg_logisticLasso_mu,0.965241,0.993598,0.971229,0.970045
mutation_TENM2,avg_logisticLasso_mu,0.972987,0.981914,0.974625,0.974215
mutation_FPGT-TNNI3K,avg_logisticLasso_mu,0.967179,0.989497,0.972831,0.971715
mutation_SEC24B,avg_logisticLasso_mu,0.963325,0.969872,0.970655,0.969208
mutation_GRM7,avg_logisticLasso_mu,0.967319,0.979898,0.972685,0.971722
mutation_C10orf112,avg_logisticLasso_mu,0.971533,0.995077,0.97594,0.975038
mutation_NLRP14,avg_logisticLasso_mu,0.980058,0.998533,0.982138,0.981708
mutation_KIAA0586,avg_logisticLasso_mu,0.965229,0.992417,0.971347,0.970041
mutation_TAF1,avg_logisticLasso_mu,0.968206,0.98753,0.973635,0.972538
mutation_PASK,avg_logisticLasso_mu,0.975314,0.9983,0.978955,0.978385
mutation_DNAJC13,avg_logisticLasso_mu,0.961333,0.990336,0.969247,0.967535
mutation_COL1A1,avg_logisticLasso_mu,0.970239,0.996828,0.975277,0.974205
mutation_MT-ND4,avg_logisticLasso_mu,0.968168,0.98806,0.971348,0.97009
mutation_FRMPD3,avg_logisticLasso_mu,0.954302,0.984774,0.965041,0.963402
mutation_TBC1D32,avg_logisticLasso_mu,0.96838,0.985476,0.973886,0.972524
mutation_PDZRN4,avg_logisticLasso_mu,0.9726,0.997522,0.976772,0.975871
mutation_GRIK3,avg_logisticLasso_mu,0.970318,0.985784,0.974239,0.974208
mutation_GAK,avg_logisticLasso_mu,0.962128,0.986717,0.968422,0.967545
mutation_CTDP1,avg_logisticLasso_mu,0.956783,0.962689,0.966426,0.964208
mutation_DBN1,avg_logisticLasso_mu,0.982475,0.987753,0.984502,0.984212
mutation_PDZRN3,avg_logisticLasso_mu,0.964928,0.99411,0.971542,0.970031
mutation_CDH18,avg_logisticLasso_mu,0.960545,0.974547,0.968536,0.966708
mutation_KIAA1324L,avg_logisticLasso_mu,0.977949,0.993889,0.980643,0.980028
mutation_SPTBN5,avg_logisticLasso_mu,0.977489,0.997466,0.979252,0.978351
mutation_EHBP1,avg_logisticLasso_mu,0.968758,0.992232,0.974678,0.973358
mutation_ANKFN1,avg_logisticLasso_mu,0.981821,0.991881,0.983853,0.983347
mutation_POM121,avg_logisticLasso_mu,0.969278,0.991443,0.971835,0.974222
mutation_ABCC3,avg_logisticLasso_mu,0.970513,0.973739,0.975316,0.974194
mutation_LAMB3,avg_logisticLasso_mu,0.967201,0.990232,0.972824,0.971708
mutation_CACNA2D4,avg_logisticLasso_mu,0.972983,0.988638,0.976832,0.975858
mutation_HEPH,avg_logisticLasso_mu,0.962072,0.988144,0.970202,0.968361
mutation_KIAA0100,avg_logisticLasso_mu,0.969245,0.990808,0.974464,0.973368
mutation_EPHB1,avg_logisticLasso_mu,0.972221,0.992375,0.976548,0.975889
mutation_TSHZ2,avg_logisticLasso_mu,0.974863,0.993327,0.978387,0.977524
mutation_EP300,avg_logisticLasso_mu,0.983596,0.998621,0.98468,0.984198
mutation_ATAD2,avg_logisticLasso_mu,0.976053,0.997256,0.979102,0.978358
mutation_ZNF628,avg_logisticLasso_mu,0.976816,0.992791,0.979859,0.979198
mutation_NCAM2,avg_logisticLasso_mu,0.967394,0.99393,0.97264,0.971725
mutation_TRIM42,avg_logisticLasso_mu,0.972724,0.990868,0.976741,0.975868
mutation_MLH3,avg_logisticLasso_mu,0.967632,0.994159,0.966766,0.973389
mutation_GRIN3A,avg_logisticLasso_mu,0.977888,0.980725,0.98066,0.980031
mutation_PIKFYVE,avg_logisticLasso_mu,0.96323,0.991893,0.970437,0.969222
mutation_AMER3,avg_logisticLasso_mu,0.968933,0.988435,0.972724,0.973371
mutation_DENND3,avg_logisticLasso_mu,0.964271,0.982724,0.971275,0.970066
mutation_DUOX1,avg_logisticLasso_mu,0.968565,0.986392,0.973575,0.972538
mutation_ANKRD11,avg_logisticLasso_mu,0.982802,0.997065,0.983724,0.983364
mutation_RUSC2,avg_logisticLasso_mu,0.962629,0.976207,0.969956,0.968368
mutation_TMPRSS15,avg_logisticLasso_mu,0.965,0.991483,0.971317,0.970045
mutation_DAPK1,avg_logisticLasso_mu,0.978909,0.999538,0.981415,0.980861
mutation_FRMPD1,avg_logisticLasso_mu,0.957258,0.985102,0.966667,0.965062
mutation_CDH20,avg_logisticLasso_mu,0.972596,0.994508,0.976727,0.975871
mutation_RPTOR,avg_logisticLasso_mu,0.9741,0.992318,0.978283,0.977548
mutation_GREB1L,avg_logisticLasso_mu,0.965185,0.99444,0.971634,0.970858
mutation_DPP6,avg_logisticLasso_mu,0.974928,0.994712,0.978172,0.977541
mutation_KCNU1,avg_logisticLasso_mu,0.958876,0.980516,0.965027,0.965885
mutation_C4orf21,avg_logisticLasso_mu,0.958465,0.995274,0.969713,0.966684
mutation_PKD1L1,avg_logisticLasso_mu,0.978491,0.999083,0.979709,0.979191
mutation_CSMD3,avg_logisticLasso_mu,0.972357,0.998328,0.972864,0.972552
mutation_SCAND3,avg_logisticLasso_mu,0.972861,0.995491,0.976743,0.975871
mutation_CCDC141,avg_logisticLasso_mu,0.965245,0.990991,0.971335,0.970045
mutation_INCENP,avg_logisticLasso_mu,0.97698,0.995407,0.979884,0.979198
mutation_YEATS2,avg_logisticLasso_mu,0.977484,0.993647,0.980718,0.980028
mutation_KDM4B,avg_logisticLasso_mu,0.967113,0.9831,0.973083,0.971701
mutation_ZNF649,avg_logisticLasso_mu,0.976622,0.991839,0.979806,0.979222
mutation_NLRP10,avg_logisticLasso_mu,0.96785,0.960681,0.970193,0.972545
mutation_CCDC40,avg_logisticLasso_mu,0.962281,0.982126,0.969322,0.968392
mutation_ADAM29,avg_logisticLasso_mu,0.964751,0.968366,0.972293,0.970871
mutation_KIAA0556,avg_logisticLasso_mu,0.958655,0.987313,0.963352,0.965882
mutation_UBR4,avg_logisticLasso_mu,0.974486,0.994702,0.976243,0.975902
mutation_ADAMTS14,avg_logisticLasso_mu,0.972399,0.980325,0.976603,0.975885
mutation_MCF2,avg_logisticLasso_mu,0.973503,0.947682,0.977632,0.976694
mutation_DENND4B,avg_logisticLasso_mu,0.97217,0.985081,0.975165,0.975864
mutation_EPHB4,avg_logisticLasso_mu,0.977072,0.9987,0.979787,0.979201
mutation_ZBTB10,avg_logisticLasso_mu,0.969053,0.993999,0.974367,0.973371
mutation_KIF4B,avg_logisticLasso_mu,0.955409,0.983942,0.965615,0.963371
mutation_DENND4A,avg_logisticLasso_mu,0.967462,0.990087,0.972089,0.971722
mutation_PRKD1,avg_logisticLasso_mu,0.970695,0.987064,0.975068,0.974208
mutation_SORBS1,avg_logisticLasso_mu,0.973568,0.991842,0.977636,0.976694
mutation_RADIL,avg_logisticLasso_mu,0.973116,0.994879,0.976684,0.976694
mutation_PCNT,avg_logisticLasso_mu,0.975651,0.992851,0.977155,0.976719
mutation_CADPS2,avg_logisticLasso_mu,0.954084,0.992862,0.957769,0.963389
mutation_NPAT,avg_logisticLasso_mu,0.972295,0.984623,0.976804,0.975871
mutation_GRIK2,avg_logisticLasso_mu,0.969243,0.973224,0.972393,0.973364
mutation_ZP4,avg_logisticLasso_mu,0.959363,0.99409,0.967445,0.965899
mutation_CLASP2,avg_logisticLasso_mu,0.967067,0.989443,0.972903,0.971705
mutation_ANAPC1,avg_logisticLasso_mu,0.972706,0.985566,0.977238,0.975854
mutation_UMODL1,avg_logisticLasso_mu,0.966286,0.998192,0.972027,0.970875
mutation_BAZ2A,avg_logisticLasso_mu,0.959945,0.997027,0.968875,0.966691
mutation_UBR1,avg_logisticLasso_mu,0.966839,0.997994,0.973159,0.971701
mutation_MAN2B2,avg_logisticLasso_mu,0.968519,0.984937,0.973931,0.973402
mutation_SMARCA4,avg_logisticLasso_mu,0.975516,0.998105,0.977797,0.976705
mutation_KIF17,avg_logisticLasso_mu,0.958931,0.993278,0.967467,0.965882
mutation_LAMB1,avg_logisticLasso_mu,0.968535,0.983046,0.973718,0.972531
mutation_PPIP5K2,avg_logisticLasso_mu,0.974799,0.996751,0.979039,0.978389
mutation_TRPM8,avg_logisticLasso_mu,0.980554,0.997607,0.983134,0.98251
mutation_GBF1,avg_logisticLasso_mu,0.972965,0.992965,0.976906,0.975854
mutation_MSH3,avg_logisticLasso_mu,0.969132,0.984698,0.974502,0.973364
mutation_MYBBP1A,avg_logisticLasso_mu,0.975834,0.999466,0.979743,0.979225
mutation_TNIK,avg_logisticLasso_mu,0.965119,0.993886,0.971279,0.970041
mutation_KIAA1239,avg_logisticLasso_mu,0.971791,0.987439,0.975944,0.975035
mutation_KCNH5,avg_logisticLasso_mu,0.964097,0.99609,0.970023,0.969187
mutation_COL6A3,avg_logisticLasso_mu,0.966494,0.987626,0.969851,0.968382
mutation_ARHGAP5,avg_logisticLasso_mu,0.971501,0.995415,0.976154,0.975024
mutation_CCDC180,avg_logisticLasso_mu,0.962298,0.991063,0.968195,0.967548
mutation_BRWD3,avg_logisticLasso_mu,0.973378,0.992861,0.977765,0.976701
mutation_ARHGAP23,avg_logisticLasso_mu,0.96673,0.986819,0.970727,0.970871
mutation_APBA1,avg_logisticLasso_mu,0.978732,0.996359,0.981689,0.980847
mutation_NRDE2,avg_logisticLasso_mu,0.982913,0.999222,0.984487,0.984201
mutation_UHRF1BP1L,avg_logisticLasso_mu,0.964699,0.974743,0.972165,0.970878
mutation_EHBP1L1,avg_logisticLasso_mu,0.973767,0.99785,0.977649,0.976691
mutation_CIITA,avg_logisticLasso_mu,0.975772,0.993717,0.979097,0.978358
mutation_CLASP1,avg_logisticLasso_mu,0.976971,0.999605,0.979865,0.979194
mutation_DNAH2,avg_logisticLasso_mu,0.971633,0.991996,0.974534,0.973385
mutation_AEBP1,avg_logisticLasso_mu,0.970607,0.982396,0.9752,0.974198
mutation_ARHGAP30,avg_logisticLasso_mu,0.966635,0.993032,0.96948,0.971708
mutation_ITGA7,avg_logisticLasso_mu,0.956586,0.993279,0.965917,0.964219
mutation_WDR70,avg_logisticLasso_mu,0.965864,0.981488,0.972744,0.971732
mutation_KIAA0430,avg_logisticLasso_mu,0.975735,0.997893,0.979193,0.978354
mutation_SH3TC1,avg_logisticLasso_mu,0.968373,0.987079,0.973693,0.972545
mutation_TMC4,avg_logisticLasso_mu,0.97896,0.989242,0.981301,0.980878
mutation_SPATA31E1,avg_logisticLasso_mu,0.960273,0.978435,0.96808,0.966729
mutation_CASR,avg_logisticLasso_mu,0.966868,0.9947,0.973104,0.971691
mutation_PITPNM2,avg_logisticLasso_mu,0.96759,0.990126,0.97333,0.971687
mutation_COL22A1,avg_logisticLasso_mu,0.972851,0.995749,0.975186,0.974212
mutation_NUP210L,avg_logisticLasso_mu,0.961893,0.997294,0.970486,0.968347
mutation_DLEC1,avg_logisticLasso_mu,0.972445,0.999715,0.97754,0.976708
mutation_RTL1,avg_logisticLasso_mu,0.957006,0.988739,0.967781,0.965028
mutation_AGAP2,avg_logisticLasso_mu,0.972642,0.997175,0.976655,0.975868
mutation_CILP,avg_logisticLasso_mu,0.973995,0.976896,0.977514,0.976694
mutation_ITSN2,avg_logisticLasso_mu,0.966857,0.990628,0.973155,0.971691
mutation_PRDM15,avg_logisticLasso_mu,0.972687,0.998796,0.976756,0.975864
mutation_MBD6,avg_logisticLasso_mu,0.971902,0.990978,0.976614,0.975875
mutation_CNTLN,avg_logisticLasso_mu,0.970632,0.995268,0.975016,0.974215
mutation_USP29,avg_logisticLasso_mu,0.964821,0.98391,0.971459,0.970031
mutation_LRRK2,avg_logisticLasso_mu,0.978921,0.997283,0.980684,0.980041
mutation_CHD1,avg_logisticLasso_mu,0.967995,0.981832,0.973817,0.972528
mutation_CCDC88A,avg_logisticLasso_mu,0.978075,0.997323,0.980591,0.980028
mutation_BRIP1,avg_logisticLasso_mu,0.97447,0.998917,0.978182,0.977545
mutation_ZNF451,avg_logisticLasso_mu,0.96925,0.993827,0.97424,0.973392
mutation_ARMC4,avg_logisticLasso_mu,0.969271,0.998538,0.974576,0.973368
mutation_ENAH,avg_logisticLasso_mu,0.957338,0.99245,0.967072,0.965055
mutation_AATK,avg_logisticLasso_mu,0.97032,0.989013,0.975254,0.974208
mutation_MED13L,avg_logisticLasso_mu,0.973442,0.983544,0.97775,0.976691
mutation_PLXNC1,avg_logisticLasso_mu,0.972029,0.992758,0.975397,0.975031
mutation_MYT1,avg_logisticLasso_mu,0.975044,0.980967,0.978773,0.978389
mutation_TRRAP,avg_logisticLasso_mu,0.968084,0.993027,0.971308,0.970052
mutation_ZFAT,avg_logisticLasso_mu,0.962373,0.991898,0.970436,0.968361
mutation_PCDH11X,avg_logisticLasso_mu,0.956611,0.988641,0.963268,0.963368
mutation_RALGAPA1,avg_logisticLasso_mu,0.967436,0.978801,0.972846,0.971705
mutation_LAMA4,avg_logisticLasso_mu,0.95764,0.97263,0.967163,0.965031
mutation_MYO5C,avg_logisticLasso_mu,0.973356,0.992431,0.97779,0.976691
mutation_CGN,avg_logisticLasso_mu,0.977177,0.994152,0.980529,0.980052
mutation_FSCB,avg_logisticLasso_mu,0.970216,0.993814,0.975207,0.974198
mutation_PLCB1,avg_logisticLasso_mu,0.967183,0.991156,0.972178,0.971701
mutation_PTPN14,avg_logisticLasso_mu,0.970693,0.977799,0.975061,0.974208
mutation_SLC4A7,avg_logisticLasso_mu,0.958344,0.988668,0.967468,0.965892
mutation_KMT2A,avg_logisticLasso_mu,0.967182,0.99453,0.970309,0.969236
mutation_CWC22,avg_logisticLasso_mu,0.976356,0.979841,0.980509,0.980052
