Unnamed: 0,avg_transfer_gscore,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
gene_effect_HSPB11,avg_transfer_gscore,0.081722,0.008413,0.729787,2.79E-02,0.71308,6.12E-02,0.502645
gene_effect_USE1,avg_transfer_gscore,0.139579,0.022888,0.724149,6.60E-03,0.726465,3.92E-03,0.507071
gene_effect_ACOT2,avg_transfer_gscore,0.094891,0.010208,0.63227,7.37E-02,0.617668,1.20E-01,0.158511
gene_effect_SSNA1,avg_transfer_gscore,0.085166,0.009633,0.691238,1.34E-01,0.675536,8.64E-02,0.506885
gene_effect_ODF1,avg_transfer_gscore,0.089015,0.010069,0.673165,8.02E-02,0.662429,4.00E-02,0.3362
gene_effect_U2AF1L4,avg_transfer_gscore,0.102517,0.013036,0.676883,3.83E-02,0.658406,2.67E-02,0.401989
gene_effect_MSANTD1,avg_transfer_gscore,0.079945,0.007854,0.726624,8.31E-02,0.709685,1.30E-01,0.495766
gene_effect_XCL1,avg_transfer_gscore,0.098229,0.011052,0.666506,1.70E-01,0.63592,1.01E-01,0.42106
gene_effect_CDH23,avg_transfer_gscore,0.080902,0.008035,0.693688,2.33E-02,0.670681,2.27E-02,0.506364
gene_effect_RSPH10B,avg_transfer_gscore,0.100826,0.013123,0.673407,1.96E-01,0.651551,2.00E-01,0.157619
gene_effect_PIFO,avg_transfer_gscore,0.084469,0.009373,0.699395,1.31E-01,0.653561,3.63E-02,0.488507
gene_effect_LRIG2,avg_transfer_gscore,0.091594,0.010389,0.718663,7.79E-04,0.699343,3.08E-03,0.526684
gene_effect_TPTE2,avg_transfer_gscore,0.079502,0.007708,0.709734,3.98E-02,0.713163,1.90E-02,0.479976
gene_effect_TTC36,avg_transfer_gscore,0.093511,0.010986,0.737123,1.88E-02,0.712667,2.02E-02,0.516368
gene_effect_SIRPG,avg_transfer_gscore,0.076658,0.006959,0.715429,5.75E-03,0.701161,2.20E-02,0.478316
gene_effect_PFN2,avg_transfer_gscore,0.08057,0.007902,0.725368,3.92E-02,0.683883,1.19E-01,0.50745
gene_effect_COQ7,avg_transfer_gscore,0.121637,0.018951,0.731242,4.38E-02,0.722493,4.54E-02,0.484558
gene_effect_CDCP2,avg_transfer_gscore,0.088215,0.009341,0.653313,1.49E-01,0.640608,6.17E-02,0.24861
gene_effect_INS,avg_transfer_gscore,0.092595,0.011772,0.719085,1.78E-01,0.706067,1.80E-01,0.520607
gene_effect_THOC3,avg_transfer_gscore,0.131816,0.021342,0.732381,3.13E-03,0.725067,1.36E-03,0.470691
gene_effect_TXNDC12,avg_transfer_gscore,0.08917,0.009533,0.71788,8.14E-03,0.708214,1.01E-02,0.403741
gene_effect_MBIP,avg_transfer_gscore,0.101035,0.012659,0.669307,6.72E-02,0.654249,6.71E-02,0.423716
gene_effect_IFT27,avg_transfer_gscore,0.092397,0.010287,0.667035,1.38E-01,0.662382,1.92E-01,0.313117
gene_effect_NSUN6,avg_transfer_gscore,0.081065,0.007899,0.720776,6.28E-02,0.694193,2.49E-02,0.506007
gene_effect_RSRC2,avg_transfer_gscore,0.114828,0.015929,0.69486,9.76E-02,0.699347,4.98E-02,0.398551
gene_effect_ARHGAP24,avg_transfer_gscore,0.084728,0.009899,0.668623,3.22E-02,0.655552,6.98E-02,0.279497
gene_effect_RPS12,avg_transfer_gscore,0.108512,0.014695,0.740414,6.77E-03,0.7074,6.09E-02,0.464265
gene_effect_ZNF785,avg_transfer_gscore,0.079465,0.007818,0.722078,8.83E-03,0.70755,1.10E-02,0.517637
gene_effect_ROMO1,avg_transfer_gscore,0.137253,0.02631,0.743829,6.26E-03,0.747145,4.83E-03,0.511924
gene_effect_C1orf43,avg_transfer_gscore,0.091776,0.010912,0.694479,9.37E-02,0.668034,1.78E-01,0.463711
gene_effect_CARD14,avg_transfer_gscore,0.077428,0.007435,0.694077,1.32E-01,0.679906,1.62E-01,0.40325
gene_effect_SKIL,avg_transfer_gscore,0.086715,0.009291,0.704882,4.40E-02,0.695705,1.44E-02,0.330236
gene_effect_ADAT3,avg_transfer_gscore,0.110619,0.016494,0.763139,4.22E-03,0.751111,3.97E-03,0.603657
gene_effect_SUMO4,avg_transfer_gscore,0.096026,0.01147,0.673132,1.79E-01,0.655377,1.70E-01,0.357652
gene_effect_CHCHD2,avg_transfer_gscore,0.100046,0.011503,0.726908,1.51E-03,0.716873,4.54E-03,0.557521
gene_effect_SMAD1,avg_transfer_gscore,0.09077,0.009723,0.723629,5.76E-02,0.702302,4.84E-02,0.497556
gene_effect_SLC25A36,avg_transfer_gscore,0.078611,0.008089,0.720464,1.30E-01,0.696341,9.28E-02,0.523065
gene_effect_MRPS24,avg_transfer_gscore,0.153544,0.02743,0.745501,1.22E-02,0.753422,2.36E-03,0.45593
gene_effect_NCMAP,avg_transfer_gscore,0.091603,0.009606,0.644502,3.67E-02,0.644532,4.91E-02,0.400007
gene_effect_PABPN1L,avg_transfer_gscore,0.095717,0.010299,0.63478,2.25E-02,0.623952,8.14E-03,0.309745
gene_effect_ZNF597,avg_transfer_gscore,0.096192,0.010565,0.725673,4.20E-03,0.70744,4.15E-03,0.386345
gene_effect_CACTIN,avg_transfer_gscore,0.130856,0.022098,0.820682,2.92E-06,0.809444,1.74E-06,0.567844
gene_effect_EIF2A,avg_transfer_gscore,0.081466,0.008028,0.68836,1.18E-01,0.678411,1.18E-01,0.445931
gene_effect_NPPA,avg_transfer_gscore,0.076483,0.007081,0.687171,5.13E-02,0.677601,1.01E-01,0.46331
gene_effect_PAXX,avg_transfer_gscore,0.100297,0.012071,0.626971,3.74E-03,0.625456,3.57E-03,0.315132
gene_effect_OR2AE1,avg_transfer_gscore,0.084867,0.008361,0.650424,1.19E-01,0.646341,1.93E-01,0.412634
gene_effect_CCDC112,avg_transfer_gscore,0.088037,0.008726,0.673357,1.97E-01,0.664039,1.36E-01,0.333401
gene_effect_CDC42BPA,avg_transfer_gscore,0.068225,0.006337,0.736688,7.93E-03,0.735845,5.18E-03,0.560247
gene_effect_PLXDC2,avg_transfer_gscore,0.072521,0.0064,0.646533,1.86E-01,0.624513,1.54E-01,0.389367
gene_effect_G6PC2,avg_transfer_gscore,0.059913,0.004995,0.694371,8.53E-02,0.679317,5.06E-02,0.511905
gene_effect_SEMA6B,avg_transfer_gscore,0.069902,0.006428,0.7515,1.56E-02,0.736374,3.57E-02,0.57644
gene_effect_MAB21L3,avg_transfer_gscore,0.094467,0.011025,0.642605,8.45E-02,0.60855,5.69E-02,0.40298
gene_effect_CDC123,avg_transfer_gscore,0.158855,0.03325,0.745301,6.78E-05,0.702743,2.60E-03,0.324528
gene_effect_CHMP4C,avg_transfer_gscore,0.078776,0.008732,0.67617,1.56E-01,0.658447,8.73E-02,0.507122
gene_effect_EPS8L1,avg_transfer_gscore,0.0981,0.01173,0.674113,6.68E-02,0.652601,6.55E-02,0.331843
gene_effect_IFITM10,avg_transfer_gscore,0.067222,0.005613,0.734543,9.42E-02,0.735298,3.96E-02,0.517191
gene_effect_NAV3,avg_transfer_gscore,0.083652,0.008,0.712851,1.16E-01,0.70416,1.48E-01,0.273886
gene_effect_ARHGAP19,avg_transfer_gscore,0.072096,0.006313,0.703597,7.44E-02,0.676964,1.82E-01,0.443887
gene_effect_SLC16A1,avg_transfer_gscore,0.144751,0.025747,0.777782,3.59E-04,0.706779,1.41E-02,0.507623
gene_effect_ABCA4,avg_transfer_gscore,0.086512,0.008767,0.688265,1.18E-02,0.664673,1.04E-02,0.483843
gene_effect_DDX20,avg_transfer_gscore,0.112436,0.01623,0.702105,3.66E-02,0.693366,8.16E-02,0.380823
gene_effect_BTK,avg_transfer_gscore,0.072109,0.006563,0.666937,1.68E-01,0.657506,1.86E-01,0.462653
gene_effect_KNCN,avg_transfer_gscore,0.064358,0.004877,0.76974,1.23E-03,0.747056,3.22E-03,0.574395
gene_effect_CEP162,avg_transfer_gscore,0.092623,0.010047,0.647748,1.19E-01,0.644541,1.72E-01,0.163402
gene_effect_FJX1,avg_transfer_gscore,0.097501,0.01104,0.684395,4.04E-02,0.671586,1.22E-02,0.34973
gene_effect_ACLY,avg_transfer_gscore,0.170315,0.037438,0.791831,6.23E-05,0.784487,1.30E-03,0.535433
gene_effect_FOS,avg_transfer_gscore,0.090061,0.009918,0.726502,2.88E-02,0.697944,2.20E-02,0.478748
gene_effect_GAREM1,avg_transfer_gscore,0.09231,0.011324,0.666797,1.59E-01,0.658998,1.18E-01,0.321053
gene_effect_PSG5,avg_transfer_gscore,0.084592,0.008716,0.69011,1.18E-01,0.667885,5.15E-02,0.49382
gene_effect_CR2,avg_transfer_gscore,0.083025,0.008187,0.680162,1.26E-02,0.654661,7.72E-02,0.466402
gene_effect_CLEC4E,avg_transfer_gscore,0.081895,0.007874,0.611503,1.65E-01,0.612659,1.31E-01,0.244011
gene_effect_SPIC,avg_transfer_gscore,0.078678,0.008285,0.690764,1.68E-01,0.673569,1.76E-01,0.385421
gene_effect_TRIM62,avg_transfer_gscore,0.096396,0.010854,0.666045,1.36E-01,0.59844,1.52E-01,0.435099
gene_effect_MOGAT2,avg_transfer_gscore,0.094319,0.011181,0.648405,1.06E-01,0.646385,1.36E-01,0.337566
gene_effect_EPB42,avg_transfer_gscore,0.09409,0.011315,0.65515,1.86E-01,0.655911,1.82E-01,0.324631
gene_effect_REEP3,avg_transfer_gscore,0.072395,0.006025,0.657431,1.52E-01,0.63677,1.93E-01,0.276911
gene_effect_TOP2A,avg_transfer_gscore,0.142656,0.024089,0.735856,6.92E-03,0.708118,3.69E-02,0.53301
gene_effect_HEXA,avg_transfer_gscore,0.082107,0.007758,0.686936,1.72E-01,0.667885,1.49E-01,0.360552
gene_effect_LRRC47,avg_transfer_gscore,0.091705,0.010693,0.680599,1.77E-01,0.667055,1.29E-01,0.47009
gene_effect_ACCSL,avg_transfer_gscore,0.102005,0.011149,0.65831,4.90E-02,0.645092,6.00E-02,0.323902
gene_effect_SYNGR3,avg_transfer_gscore,0.090451,0.009389,0.630468,6.01E-02,0.598893,6.58E-02,0.443757
gene_effect_EDNRB,avg_transfer_gscore,0.077805,0.007223,0.688899,1.33E-01,0.660565,1.19E-01,0.378689
gene_effect_IMPG2,avg_transfer_gscore,0.076889,0.006995,0.679783,3.02E-02,0.651017,3.14E-02,0.33838
gene_effect_LYZ,avg_transfer_gscore,0.079222,0.007673,0.765004,4.45E-06,0.748574,1.53E-04,0.569005
gene_effect_LRRC1,avg_transfer_gscore,0.096136,0.011129,0.6893,1.37E-01,0.677982,1.34E-01,0.309226
gene_effect_IFIT1B,avg_transfer_gscore,0.066312,0.005404,0.70632,3.08E-03,0.681682,1.33E-02,0.473271
gene_effect_KIAA0753,avg_transfer_gscore,0.079994,0.007465,0.691099,2.29E-02,0.668375,4.23E-02,0.416826
gene_effect_SRSF2,avg_transfer_gscore,0.144919,0.027442,0.755826,7.47E-04,0.726606,3.79E-03,0.43498
gene_effect_SMAD7,avg_transfer_gscore,0.117787,0.01826,0.775107,7.63E-05,0.730008,5.37E-03,0.595053
gene_effect_TRPC5,avg_transfer_gscore,0.075704,0.006572,0.655093,8.50E-02,0.630068,5.86E-02,0.373247
gene_effect_BORCS7,avg_transfer_gscore,0.097579,0.010967,0.682788,3.96E-04,0.663546,1.61E-02,0.455015
gene_effect_GAMT,avg_transfer_gscore,0.088749,0.01081,0.701994,1.82E-01,0.689524,1.68E-01,0.542412
gene_effect_CYB5D2,avg_transfer_gscore,0.07075,0.006116,0.739736,9.71E-04,0.722008,3.37E-03,0.558021
gene_effect_GPAM,avg_transfer_gscore,0.085026,0.009498,0.693828,1.59E-01,0.662521,1.14E-01,0.448362
gene_effect_OLAH,avg_transfer_gscore,0.080913,0.008243,0.763827,1.62E-03,0.725861,3.05E-03,0.604374
gene_effect_NIPAL3,avg_transfer_gscore,0.07757,0.007187,0.65678,1.29E-01,0.652255,1.21E-01,0.430634
gene_effect_CCDC33,avg_transfer_gscore,0.075211,0.006596,0.722175,9.24E-02,0.697867,1.27E-01,0.494285
gene_effect_MOG,avg_transfer_gscore,0.109283,0.015583,0.718581,1.81E-01,0.681818,7.75E-02,0.546969
gene_effect_RSRP1,avg_transfer_gscore,0.1218,0.019024,0.554127,4.14E-02,0.60296,1.03E-01,0.340288
gene_effect_AGAP9,avg_transfer_gscore,0.109007,0.013971,0.701102,1.11E-01,0.694665,9.85E-02,0.347244
gene_effect_ART4,avg_transfer_gscore,0.098257,0.010932,0.692522,6.10E-02,0.67955,6.70E-02,0.334298
gene_effect_RNF34,avg_transfer_gscore,0.083249,0.008204,0.750983,2.59E-03,0.712741,1.34E-02,0.507944
gene_effect_ANP32A,avg_transfer_gscore,0.096355,0.011339,0.725616,5.26E-02,0.702437,9.51E-02,0.449562
gene_effect_ZNF251,avg_transfer_gscore,0.100017,0.011883,0.662123,1.77E-01,0.651666,1.70E-01,0.331049
gene_effect_AMBN,avg_transfer_gscore,0.082359,0.008066,0.680077,2.98E-02,0.646476,6.90E-02,0.363805
gene_effect_MAPKAPK3,avg_transfer_gscore,0.072195,0.006114,0.702753,1.03E-01,0.691113,4.72E-02,0.451576
gene_effect_KCNJ11,avg_transfer_gscore,0.105805,0.012384,0.567902,8.89E-02,0.57872,1.49E-01,0.18952
gene_effect_MMRN2,avg_transfer_gscore,0.084009,0.007876,0.619898,4.79E-02,0.63172,1.28E-02,0.33337
gene_effect_C16orf86,avg_transfer_gscore,0.118839,0.015282,0.670139,1.59E-03,0.650102,9.18E-03,0.261514
gene_effect_AK1,avg_transfer_gscore,0.092643,0.010421,0.712818,8.49E-04,0.725816,3.76E-04,0.262185
gene_effect_RRAGA,avg_transfer_gscore,0.143027,0.026926,0.757574,2.49E-02,0.749204,4.09E-02,0.552386
gene_effect_DNAH1,avg_transfer_gscore,0.072864,0.006774,0.721753,1.08E-01,0.683685,1.62E-01,0.496856
gene_effect_AAR2,avg_transfer_gscore,0.107924,0.015237,0.693989,2.25E-03,0.636155,2.15E-02,0.334002
gene_effect_TSPAN18,avg_transfer_gscore,0.089744,0.009743,0.700534,7.36E-02,0.675846,1.21E-01,0.422963
gene_effect_POU4F2,avg_transfer_gscore,0.082691,0.007926,0.637341,9.70E-02,0.641271,1.74E-01,0.262711
gene_effect_TSPAN16,avg_transfer_gscore,0.067036,0.005318,0.693356,8.20E-02,0.685432,8.53E-02,0.461356
gene_effect_PYROXD1,avg_transfer_gscore,0.196483,0.047051,0.800732,5.73E-06,0.755678,9.40E-04,0.413984
gene_effect_METTL6,avg_transfer_gscore,0.084066,0.007847,0.707233,3.00E-02,0.68767,1.97E-02,0.378947
gene_effect_DMRT2,avg_transfer_gscore,0.101155,0.012423,0.701636,4.93E-02,0.700238,3.08E-02,0.308283
gene_effect_RPTN,avg_transfer_gscore,0.070901,0.006101,0.707166,9.88E-02,0.681081,1.58E-01,0.459086
gene_effect_BRCA1,avg_transfer_gscore,0.138715,0.024214,0.715155,2.34E-03,0.705171,4.39E-03,0.395295
gene_effect_CAPN2,avg_transfer_gscore,0.072873,0.006818,0.724057,8.39E-03,0.695456,3.55E-02,0.530381
gene_effect_DHFR2,avg_transfer_gscore,0.120346,0.019458,0.713432,3.10E-02,0.688867,4.31E-02,0.399826
gene_effect_PES1,avg_transfer_gscore,0.118589,0.01636,0.681329,1.58E-01,0.680023,1.04E-01,0.424315
gene_effect_TIRAP,avg_transfer_gscore,0.086848,0.008853,0.714042,2.51E-02,0.696074,2.47E-02,0.424537
gene_effect_PEX1,avg_transfer_gscore,0.130943,0.019139,0.73617,2.20E-03,0.718772,4.99E-04,0.473926
gene_effect_SCGB3A2,avg_transfer_gscore,0.078157,0.007341,0.657481,1.42E-01,0.635975,1.31E-01,0.453986
gene_effect_KMT2B,avg_transfer_gscore,0.11434,0.015069,0.694616,3.00E-02,0.676196,4.78E-02,0.466525
gene_effect_FFAR3,avg_transfer_gscore,0.090039,0.009813,0.729533,8.54E-04,0.729401,5.22E-04,0.439932
gene_effect_CYB5R3,avg_transfer_gscore,0.10165,0.012192,0.649762,1.92E-02,0.623121,1.15E-02,0.381792
gene_effect_HIST1H4D,avg_transfer_gscore,0.098916,0.011734,0.698524,9.68E-02,0.679232,1.19E-01,0.429141
gene_effect_NGLY1,avg_transfer_gscore,0.123991,0.01988,0.758211,3.37E-04,0.720603,3.33E-04,0.529167
gene_effect_RAB3B,avg_transfer_gscore,0.066554,0.005555,0.754554,2.07E-04,0.747901,1.07E-04,0.549812
gene_effect_ALKBH1,avg_transfer_gscore,0.107965,0.01363,0.667591,3.34E-02,0.647593,3.43E-02,0.466807
gene_effect_NXPH1,avg_transfer_gscore,0.096984,0.010741,0.602019,1.29E-02,0.587418,4.59E-02,0.188631
gene_effect_TP53AIP1,avg_transfer_gscore,0.090491,0.009032,0.647071,1.62E-01,0.639985,1.75E-01,0.261646
gene_effect_BAAT,avg_transfer_gscore,0.074065,0.006594,0.687037,3.04E-02,0.646264,8.70E-02,0.493741
gene_effect_ATP6AP1,avg_transfer_gscore,0.172636,0.040123,0.757553,1.48E-03,0.760909,7.21E-04,0.591843
gene_effect_C11orf53,avg_transfer_gscore,0.079718,0.00714,0.76894,1.36E-08,0.639876,1.22E-01,0.51702
gene_effect_MOSMO,avg_transfer_gscore,0.102808,0.012517,0.685534,1.78E-01,0.672137,1.76E-01,0.458587
gene_effect_ZDHHC1,avg_transfer_gscore,0.090697,0.009864,0.702909,3.17E-02,0.67526,3.29E-02,0.416333
gene_effect_SLC26A1,avg_transfer_gscore,0.097641,0.011255,0.719412,2.95E-02,0.704831,2.22E-02,0.48106
gene_effect_CD248,avg_transfer_gscore,0.085977,0.008288,0.721825,3.78E-04,0.681909,1.09E-02,0.486351
gene_effect_KCNU1,avg_transfer_gscore,0.093467,0.010121,0.6561,4.94E-02,0.648986,9.64E-02,0.310103
gene_effect_KIFC1,avg_transfer_gscore,0.121111,0.017729,0.646739,4.92E-02,0.625077,4.01E-02,0.3066
gene_effect_SLC25A45,avg_transfer_gscore,0.08153,0.008791,0.696752,1.21E-01,0.681554,1.69E-01,0.515523
gene_effect_UPK2,avg_transfer_gscore,0.094813,0.011526,0.69324,1.16E-01,0.696114,7.56E-02,0.410817
gene_effect_S100A13,avg_transfer_gscore,0.098861,0.012084,0.7111,3.05E-02,0.681397,7.17E-02,0.423576
gene_effect_NT5C3A,avg_transfer_gscore,0.083475,0.008313,0.707352,1.07E-01,0.693661,1.38E-01,0.442366
gene_effect_CBLL2,avg_transfer_gscore,0.082688,0.008172,0.631409,1.21E-01,0.612611,1.46E-01,0.30951
gene_effect_TEK,avg_transfer_gscore,0.094407,0.01004,0.68903,4.27E-02,0.638952,5.08E-02,0.241743
gene_effect_SEC22C,avg_transfer_gscore,0.089903,0.009354,0.688997,1.50E-01,0.655181,1.83E-01,0.432865
gene_effect_GADD45B,avg_transfer_gscore,0.086055,0.009029,0.742114,1.02E-02,0.710449,2.47E-02,0.518838
gene_effect_OR2T27,avg_transfer_gscore,0.084444,0.009551,0.752557,5.22E-05,0.753104,5.33E-05,0.514267
gene_effect_ZNF470,avg_transfer_gscore,0.090148,0.009263,0.670036,1.67E-01,0.635804,1.19E-01,0.372817
gene_effect_OSM,avg_transfer_gscore,0.099429,0.012278,0.736963,5.37E-03,0.693455,7.37E-02,0.552835
gene_effect_CRIP3,avg_transfer_gscore,0.098157,0.010725,0.640884,1.56E-01,0.624966,1.08E-01,0.31732
gene_effect_FBXW10,avg_transfer_gscore,0.097559,0.011346,0.641468,1.94E-01,0.626955,1.82E-01,0.220296
gene_effect_OR1D5,avg_transfer_gscore,0.112675,0.015004,0.674609,9.08E-02,0.672488,7.54E-02,0.401419
gene_effect_KRT36,avg_transfer_gscore,0.07612,0.007664,0.718673,5.39E-02,0.709706,1.42E-02,0.461066
gene_effect_KLRG1,avg_transfer_gscore,0.068349,0.005914,0.717134,1.72E-02,0.692274,5.05E-02,0.439004
gene_effect_USP45,avg_transfer_gscore,0.112862,0.013744,0.588687,1.25E-01,0.562293,1.56E-01,0.285638
gene_effect_FER,avg_transfer_gscore,0.082102,0.007636,0.685496,1.22E-01,0.654618,1.92E-01,0.387265
