Unnamed: 0,avg_elastic_pro,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
protein_NF-kB-p65_pS536_Caution,avg_elastic_pro,0.435544,0.189844,0.864882,3.48E-53,0.849324,5.76E-46,0.736565
protein_NF2_Caution,avg_elastic_pro,0.321397,0.103427,0.891657,2.87E-59,0.847433,1.61E-44,0.787182
protein_Notch1,avg_elastic_pro,0.26451,0.070015,0.878445,3.28E-54,0.862166,7.94E-48,0.768123
protein_ACVRL1_Caution,avg_elastic_pro,0.170906,0.029316,0.67421,1.24E-19,0.59421,3.28E-11,0.452163
protein_P-Cadherin_Caution,avg_elastic_pro,0.286634,0.082473,0.888902,6.09E-51,0.863268,3.83E-45,0.786233
protein_p14 Arf(BetA300-340A)_Caution,avg_elastic_pro,0.435663,0.190187,0.948218,1.90E-83,0.910636,6.03E-60,0.896805
protein_p21,avg_elastic_pro,0.346195,0.119882,0.870305,2.39E-45,0.823758,4.09E-40,0.750738
protein_p27,avg_elastic_pro,0.22764,0.051933,0.780013,7.29E-36,0.725076,4.44E-27,0.597768
protein_p27_pT157_Caution,avg_elastic_pro,0.143062,0.020476,0.517981,9.95E-12,0.511147,3.50E-12,0.259521
protein_p27_pT198,avg_elastic_pro,0.187671,0.035555,0.79762,1.78E-32,0.627083,1.26E-17,0.613247
protein_p38 alpha MAPK,avg_elastic_pro,0.240516,0.059098,0.794441,1.31E-33,0.744899,1.48E-24,0.615922
protein_p38_MAPK,avg_elastic_pro,0.256289,0.065826,0.86415,4.52E-48,0.824493,5.15E-36,0.741823
protein_p38_pT180_Y182,avg_elastic_pro,0.396498,0.15741,0.811858,2.26E-37,0.801237,1.66E-37,0.642769
protein_p53_Caution,avg_elastic_pro,0.388061,0.150776,0.894955,2.53E-62,0.86273,2.71E-46,0.797462
protein_ADAR1,avg_elastic_pro,0.23438,0.055156,0.810835,4.32E-40,0.792827,6.29E-38,0.650962
protein_p62 Lck ligand_Caution,avg_elastic_pro,0.388662,0.151315,0.922596,5.08E-74,0.907022,2.54E-65,0.84635
protein_p70S6K,avg_elastic_pro,0.223038,0.049859,0.891801,1.77E-49,0.869946,9.75E-43,0.789979
protein_p70S6K_pT389,avg_elastic_pro,0.366838,0.134657,0.823809,1.94E-41,0.815069,3.36E-41,0.671178
protein_p90RSK_Caution,avg_elastic_pro,0.2081,0.043412,0.901587,4.96E-59,0.878784,8.99E-49,0.811345
protein_p90RSK_pT359_S363_Caution,avg_elastic_pro,0.16909,0.028669,0.619555,7.76E-17,0.59976,1.08E-14,0.358776
protein_p90RSK_pT573_Caution,avg_elastic_pro,0.318267,0.101577,0.829522,4.70E-40,0.820786,1.82E-39,0.676574
protein_PAI-1,avg_elastic_pro,0.460896,0.212897,0.967371,2.51E-99,0.927963,7.87E-54,0.935183
protein_PARP_cleaved_Caution,avg_elastic_pro,0.339497,0.11772,0.777019,2.44E-22,0.636363,7.80E-19,0.527264
protein_Paxillin_Caution,avg_elastic_pro,0.319151,0.102165,0.915521,1.21E-67,0.903194,5.17E-64,0.834001
protein_PCNA_Caution,avg_elastic_pro,0.24261,0.059033,0.8188,8.09E-38,0.794151,5.01E-33,0.659833
protein_Akt,avg_elastic_pro,0.300395,0.090499,0.896621,4.04E-60,0.878814,5.43E-55,0.799936
protein_PDCD4_Caution,avg_elastic_pro,0.37884,0.143827,0.905445,3.47E-58,0.89262,3.86E-52,0.815958
protein_PDK1,avg_elastic_pro,0.16853,0.028437,0.759738,1.98E-33,0.745271,3.19E-28,0.569313
protein_PDK1_pS241,avg_elastic_pro,0.212199,0.04505,0.814781,2.32E-42,0.815656,4.76E-42,0.653154
protein_PEA15,avg_elastic_pro,0.219383,0.048179,0.866302,1.21E-47,0.850218,1.76E-46,0.745201
protein_PEA15_pS116,avg_elastic_pro,0.536008,0.28813,0.781792,1.87E-30,0.646932,4.50E-19,0.595447
protein_PI3K-p110-alpha_Caution,avg_elastic_pro,0.185067,0.034323,0.806438,1.89E-38,0.789447,4.70E-33,0.645254
protein_PI3K-p85,avg_elastic_pro,0.231761,0.053903,0.92389,5.30E-69,0.886047,2.61E-55,0.849148
protein_PKC-alpha,avg_elastic_pro,0.248658,0.061925,0.941431,2.64E-75,0.935912,1.73E-67,0.882046
protein_PKC-alpha_pS657_Caution,avg_elastic_pro,0.277593,0.077104,0.961221,1.27E-91,0.957403,6.50E-85,0.923057
protein_PKC-delta_pS664,avg_elastic_pro,0.176486,0.032095,0.812807,7.23E-38,0.790524,1.49E-34,0.631489
protein_Akt_pS473,avg_elastic_pro,0.585138,0.343875,0.892571,2.17E-51,0.874413,4.47E-48,0.79082
protein_PKC-pan_BetaII_pS660,avg_elastic_pro,0.29914,0.0899,0.883071,4.11E-49,0.862065,2.89E-48,0.774011
protein_Porin,avg_elastic_pro,0.489642,0.23986,0.828015,1.51E-43,0.803914,2.24E-37,0.67491
protein_PR,avg_elastic_pro,0.228215,0.05259,0.699811,4.40E-25,0.624052,6.18E-14,0.464792
protein_PRAS40_pT246,avg_elastic_pro,0.260573,0.068164,0.738264,3.98E-30,0.730183,9.91E-30,0.533242
protein_PRDX1,avg_elastic_pro,0.241113,0.058171,0.870462,2.82E-53,0.824101,1.69E-40,0.751468
protein_PREX1,avg_elastic_pro,0.244453,0.060198,0.922359,6.32E-65,0.833795,1.67E-31,0.84587
protein_PTEN,avg_elastic_pro,0.469013,0.220846,0.914151,1.30E-59,0.860547,6.32E-43,0.830958
protein_Rab25,avg_elastic_pro,0.294037,0.086556,0.930924,6.26E-70,0.877122,1.84E-49,0.863787
protein_Rad50,avg_elastic_pro,0.276148,0.076571,0.794943,1.78E-38,0.782314,1.50E-34,0.619651
protein_RAD51,avg_elastic_pro,0.286777,0.082522,0.811407,8.96E-41,0.774094,1.01E-31,0.641848
protein_Akt_pT308,avg_elastic_pro,0.462736,0.214367,0.864873,3.65E-48,0.804838,1.33E-35,0.742877
protein_Raptor,avg_elastic_pro,0.218001,0.047693,0.782345,4.42E-33,0.761486,9.11E-30,0.605125
protein_Rb_Caution,avg_elastic_pro,0.247556,0.061796,0.882246,4.00E-57,0.848969,1.25E-44,0.772612
protein_Rb_pS807_S811,avg_elastic_pro,0.452025,0.20478,0.901246,1.03E-59,0.887178,6.48E-57,0.808275
protein_RBM15,avg_elastic_pro,0.374751,0.140835,0.814314,8.35E-38,0.784685,3.22E-33,0.650532
protein_Rictor_Caution,avg_elastic_pro,0.285356,0.081513,0.792196,1.63E-36,0.773933,7.13E-34,0.612996
protein_Rictor_pT1135,avg_elastic_pro,0.203148,0.041448,0.710005,1.88E-25,0.675316,2.97E-21,0.482952
protein_RSK1-2-3_Caution,avg_elastic_pro,0.25667,0.066123,0.927032,4.75E-67,0.906149,1.87E-55,0.857419
protein_S6_pS235_S236,avg_elastic_pro,0.597437,0.35756,0.887368,4.72E-58,0.880844,2.13E-56,0.781202
protein_S6_pS240_S244,avg_elastic_pro,0.614333,0.377969,0.861158,3.33E-52,0.858952,1.16E-49,0.731334
protein_SCD1,avg_elastic_pro,0.3154,0.099932,0.80348,1.91E-31,0.677209,7.03E-22,0.623328
protein_alpha-Catenin,avg_elastic_pro,0.235143,0.055328,0.920036,2.19E-71,0.92367,3.89E-69,0.844589
protein_SETD2_Caution,avg_elastic_pro,0.276836,0.076704,0.826597,4.61E-44,0.719377,5.37E-25,0.676927
protein_SF2,avg_elastic_pro,0.183119,0.033583,0.747725,2.74E-30,0.723331,2.19E-26,0.551616
protein_Shc_pY317,avg_elastic_pro,0.234787,0.055466,0.837276,3.22E-42,0.824537,4.65E-38,0.688261
protein_SHP-2_pY542_Caution,avg_elastic_pro,0.333194,0.112763,0.866495,8.23E-51,0.802802,1.46E-35,0.744078
protein_Smac_Caution,avg_elastic_pro,0.301735,0.09111,0.823964,5.63E-40,0.818443,1.71E-43,0.670989
protein_Smad1,avg_elastic_pro,0.15974,0.02557,0.875672,2.99E-53,0.846969,1.54E-47,0.762491
protein_Smad3,avg_elastic_pro,0.205669,0.042342,0.780962,5.27E-31,0.752574,5.00E-27,0.606049
protein_Smad4,avg_elastic_pro,0.17237,0.029762,0.700926,7.04E-22,0.653779,2.63E-17,0.483084
protein_Snail_Caution,avg_elastic_pro,0.372765,0.140893,0.820621,1.03E-32,0.686969,1.52E-24,0.649362
protein_Src,avg_elastic_pro,0.266205,0.071066,0.921017,8.17E-67,0.902604,1.41E-57,0.846997
protein_AMPK_alpha_Caution,avg_elastic_pro,0.212358,0.045184,0.809342,7.90E-40,0.786311,9.79E-34,0.65151
protein_Src_pY416_Caution,avg_elastic_pro,0.365993,0.134652,0.873105,1.90E-47,0.750945,1.86E-26,0.758525
protein_Src_pY527,avg_elastic_pro,0.326116,0.106375,0.879503,5.86E-49,0.862905,2.23E-48,0.769248
protein_STAT3_Caution,avg_elastic_pro,0.37615,0.142011,0.819657,8.74E-42,0.793098,9.70E-37,0.66125
protein_STAT3_pY705,avg_elastic_pro,0.296032,0.08791,0.835471,5.95E-36,0.790409,5.12E-35,0.687056
protein_STAT5-alpha,avg_elastic_pro,0.301888,0.091674,0.964777,3.92E-91,0.929443,1.74E-73,0.929749
protein_Stathmin,avg_elastic_pro,0.186424,0.03493,0.855916,3.93E-44,0.779356,5.21E-31,0.719818
protein_Syk,avg_elastic_pro,0.386366,0.149728,0.986226,6.84E-133,0.972278,7.63E-104,0.97223
protein_TAZ,avg_elastic_pro,0.198214,0.03939,0.881594,3.22E-52,0.876516,1.79E-53,0.774439
protein_TFRC,avg_elastic_pro,0.454471,0.20687,0.865927,1.84E-50,0.854518,4.44E-47,0.742257
protein_TIGAR,avg_elastic_pro,0.233346,0.055387,0.875115,1.26E-53,0.80161,3.12E-35,0.755643
protein_AMPK_pT172,avg_elastic_pro,0.381844,0.14589,0.831932,8.44E-45,0.81696,1.44E-41,0.676331
protein_14-3-3_epsilon_Caution,avg_elastic_pro,0.14417,0.021008,0.677814,3.49E-22,0.646265,7.02E-20,0.442429
protein_Transglutaminase,avg_elastic_pro,0.359384,0.129451,0.914689,8.21E-63,0.832319,3.23E-39,0.835276
protein_TSC1_Caution,avg_elastic_pro,0.252987,0.064329,0.850545,1.70E-44,0.810435,6.25E-36,0.717605
protein_TTF1,avg_elastic_pro,0.352919,0.124999,0.781315,7.27E-34,0.754422,4.62E-31,0.598502
protein_Tuberin,avg_elastic_pro,0.313865,0.098561,0.822545,1.55E-39,0.794319,3.65E-35,0.660306
protein_Tuberin_pT1462,avg_elastic_pro,0.23955,0.057641,0.72745,7.36E-26,0.689291,1.81E-21,0.510874
protein_VAV1_Caution,avg_elastic_pro,0.522876,0.274051,0.969402,5.15E-103,0.817157,4.28E-37,0.939301
protein_VEGFR2,avg_elastic_pro,0.341237,0.11663,0.9596,9.38E-92,0.953253,4.94E-88,0.918653
protein_VHL_Caution,avg_elastic_pro,0.627926,0.394901,0.93856,3.27E-80,0.929959,1.02E-69,0.8802
protein_XBP1_Caution,avg_elastic_pro,0.201997,0.040912,0.691646,3.09E-23,0.673515,3.69E-21,0.463574
protein_XRCC1_Caution,avg_elastic_pro,0.194306,0.037879,0.744571,2.42E-28,0.713224,5.90E-27,0.545008
protein_Annexin 1,avg_elastic_pro,0.343501,0.118202,0.957968,2.08E-94,0.954295,5.66E-92,0.916376
protein_YAP_Caution,avg_elastic_pro,0.215477,0.046556,0.946398,2.54E-79,0.924327,2.24E-64,0.894918
protein_YAP_pS127_Caution,avg_elastic_pro,0.377134,0.142558,0.96837,4.39E-98,0.936626,3.88E-67,0.936088
protein_YB-1,avg_elastic_pro,0.216339,0.046857,0.700945,6.60E-26,0.6481,2.31E-18,0.469794
protein_YB-1_pS102,avg_elastic_pro,0.245379,0.060346,0.815999,5.96E-37,0.781869,6.45E-32,0.658016
protein_Annexin_VII,avg_elastic_pro,0.21123,0.044963,0.841523,4.74E-44,0.831689,2.79E-43,0.705776
protein_AR,avg_elastic_pro,0.219663,0.048313,0.936172,1.68E-67,0.743097,6.01E-30,0.874838
protein_ASNS,avg_elastic_pro,0.426314,0.182606,0.902628,1.66E-61,0.884476,1.16E-56,0.810589
protein_ATM,avg_elastic_pro,0.435698,0.191002,0.876443,6.68E-53,0.851124,1.08E-44,0.755383
protein_B-Raf_Caution,avg_elastic_pro,0.32404,0.105405,0.884631,3.56E-56,0.875362,7.25E-46,0.778287
protein_B-Raf_pS445,avg_elastic_pro,0.231296,0.053519,0.880941,3.00E-56,0.877396,1.41E-52,0.766936
protein_Bad_pS112,avg_elastic_pro,0.178922,0.032071,0.686204,1.33E-24,0.66682,6.67E-22,0.460559
protein_Bak_Caution,avg_elastic_pro,0.160522,0.025845,0.65281,5.42E-17,0.640951,2.44E-15,0.408621
protein_Bap1 c-4,avg_elastic_pro,0.247241,0.061758,0.816241,5.50E-31,0.74816,6.73E-29,0.664098
protein_14-3-3_zeta,avg_elastic_pro,0.257691,0.066503,0.811284,1.65E-40,0.796984,5.49E-30,0.642871
protein_Bax,avg_elastic_pro,0.258549,0.067754,0.880808,6.92E-57,0.873863,6.05E-54,0.769093
protein_Bcl-2,avg_elastic_pro,0.28326,0.080291,0.954517,2.65E-86,0.897746,3.88E-56,0.908492
protein_Bcl-xL,avg_elastic_pro,0.297637,0.088596,0.787915,1.29E-33,0.77333,4.21E-32,0.611848
protein_Beclin_Caution,avg_elastic_pro,0.153109,0.023498,0.627054,1.08E-18,0.613894,6.35E-16,0.377739
protein_beta-Catenin,avg_elastic_pro,0.507638,0.258235,0.950331,6.40E-85,0.908538,3.09E-61,0.902308
protein_beta-Catenin_pT41_S45,avg_elastic_pro,0.170364,0.029201,0.644076,8.92E-21,0.629443,2.86E-19,0.406681
protein_beta Actin_Caution,avg_elastic_pro,0.425909,0.182445,0.878324,5.32E-56,0.866709,4.33E-50,0.765435
protein_Bid_Caution,avg_elastic_pro,0.149113,0.022268,0.602188,5.91E-17,0.563081,2.45E-15,0.352026
protein_Bim(CST2933),avg_elastic_pro,0.385174,0.148575,0.930574,2.31E-60,0.915372,1.02E-57,0.864327
protein_Bim(EP1036),avg_elastic_pro,0.308986,0.095679,0.921071,6.18E-55,0.898341,9.79E-52,0.845604
protein_4E-BP1,avg_elastic_pro,0.271292,0.073621,0.875046,4.80E-52,0.869162,2.73E-50,0.757303
protein_BRCA2_Caution,avg_elastic_pro,0.159145,0.025338,0.775231,4.77E-32,0.744772,2.02E-25,0.596374
protein_c-Jun_pS73,avg_elastic_pro,0.234148,0.054898,0.813827,2.05E-40,0.789262,4.59E-35,0.65335
protein_c-Kit,avg_elastic_pro,0.294861,0.08769,0.963177,3.58E-101,0.813584,1.46E-39,0.927089
protein_c-Met_Caution,avg_elastic_pro,0.366398,0.136173,0.760668,2.89E-17,0.571977,8.09E-12,0.508371
protein_c-Met_pY1235,avg_elastic_pro,0.147978,0.022869,0.500302,8.72E-07,0.438901,2.15E-07,0.171366
protein_c-Myc_Caution,avg_elastic_pro,0.315124,0.099418,0.84779,1.46E-43,0.827412,4.28E-39,0.712701
protein_C-Raf(BD610151)_Caution,avg_elastic_pro,0.309433,0.096104,0.869816,1.76E-53,0.86484,1.17E-51,0.750073
protein_C-Raf(MP05-739),avg_elastic_pro,0.221882,0.049332,0.87262,8.49E-50,0.866186,3.85E-51,0.758761
protein_C-Raf_pS338,avg_elastic_pro,0.151271,0.023044,0.698013,1.42E-21,0.667501,1.63E-20,0.484463
protein_Caspase-7_cleavedD198_Caution,avg_elastic_pro,0.357778,0.128719,0.831439,1.67E-40,0.77391,8.80E-35,0.681421
protein_4E-BP1_pS65,avg_elastic_pro,0.287586,0.082852,0.863783,8.35E-47,0.842027,2.32E-37,0.740221
protein_Caspase-8_Caution,avg_elastic_pro,0.304714,0.094082,0.786553,4.35E-32,0.713127,1.56E-20,0.58781
protein_Caveolin-1,avg_elastic_pro,0.634173,0.403008,0.971488,3.53E-107,0.949417,2.70E-87,0.943136
protein_CD20 _Caution,avg_elastic_pro,0.177408,0.031708,0.879852,4.88E-39,0.552715,3.64E-10,0.752994
protein_CD31,avg_elastic_pro,0.209189,0.043889,0.752884,1.14E-21,0.662331,1.72E-19,0.562081
protein_CD49b,avg_elastic_pro,0.321445,0.103557,0.947112,8.19E-87,0.934987,6.02E-66,0.894048
protein_CDK1,avg_elastic_pro,0.331758,0.110934,0.779738,4.51E-29,0.667537,1.40E-20,0.579843
protein_Chk1_Caution,avg_elastic_pro,0.302355,0.091741,0.826805,1.02E-41,0.75888,1.37E-26,0.675076
protein_Chk1_pS345_Caution,avg_elastic_pro,0.193917,0.037746,0.782221,1.43E-36,0.715298,1.06E-25,0.605134
protein_Chk2,avg_elastic_pro,0.237921,0.056791,0.889267,4.86E-52,0.878781,4.07E-54,0.787303
protein_Chk2_pT68_Caution,avg_elastic_pro,0.185704,0.034626,0.774387,1.11E-34,0.72848,1.20E-28,0.599101
protein_4E-BP1_pT37_T46,avg_elastic_pro,0.333015,0.111954,0.874673,2.11E-47,0.87186,1.09E-45,0.760204
protein_cIAP_Caution,avg_elastic_pro,0.179042,0.03212,0.761013,8.33E-30,0.717834,2.86E-25,0.571327
protein_Claudin-7,avg_elastic_pro,0.441606,0.195453,0.964351,6.13E-100,0.893152,2.05E-51,0.928796
protein_Collagen_VI,avg_elastic_pro,0.278114,0.077784,0.724209,2.25E-25,0.682909,3.23E-22,0.507882
protein_Cyclin_B1,avg_elastic_pro,0.40331,0.16296,0.87117,1.61E-52,0.854797,5.03E-45,0.745969
protein_Cyclin_D1,avg_elastic_pro,0.270574,0.073414,0.735856,1.01E-26,0.690819,3.37E-20,0.53297
protein_Cyclin_E1,avg_elastic_pro,0.268571,0.072502,0.886465,1.28E-53,0.849009,3.38E-42,0.78086
protein_Cyclin_E2_Caution,avg_elastic_pro,0.220018,0.048579,0.808911,1.32E-35,0.752205,3.43E-28,0.63678
protein_Di-Ras3_Caution,avg_elastic_pro,0.145578,0.021247,0.551909,1.45E-09,0.466321,1.39E-07,0.282889
protein_DJ-1,avg_elastic_pro,0.21562,0.046577,0.859866,1.80E-49,0.827502,2.35E-35,0.737874
protein_Dvl3,avg_elastic_pro,0.226689,0.051473,0.817759,1.57E-37,0.809197,4.70E-36,0.661511
protein_4E-BP1_pT70,avg_elastic_pro,0.197811,0.039141,0.797348,2.61E-36,0.769025,5.55E-33,0.626318
protein_E-Cadherin,avg_elastic_pro,0.398911,0.159712,0.980283,5.18E-121,0.950586,3.63E-79,0.960001
protein_eEF2_Caution,avg_elastic_pro,0.41201,0.170194,0.803038,6.20E-35,0.779802,1.35E-30,0.632342
protein_eEF2K,avg_elastic_pro,0.328878,0.108214,0.846862,7.03E-47,0.829047,5.59E-42,0.708672
protein_EGFR,avg_elastic_pro,0.289836,0.084192,0.962252,7.34E-90,0.957596,5.02E-90,0.924763
protein_EGFR_pY1068_Caution,avg_elastic_pro,0.376552,0.141867,0.897214,5.27E-61,0.867844,6.44E-52,0.798179
protein_EGFR_pY1173,avg_elastic_pro,0.128203,0.016544,0.54621,3.07E-12,0.464093,1.24E-08,0.281286
protein_eIF4E,avg_elastic_pro,0.192376,0.037045,0.83969,1.28E-42,0.846904,5.08E-47,0.700688
protein_eIF4G_Caution,avg_elastic_pro,0.504704,0.2566,0.839217,2.63E-42,0.752022,3.38E-31,0.696231
protein_ER-alpha,avg_elastic_pro,0.242471,0.058867,0.898536,3.65E-49,0.677529,2.27E-22,0.802905
protein_ER-alpha_pS118,avg_elastic_pro,0.16111,0.026098,0.692471,1.08E-19,0.609221,1.17E-13,0.465437
protein_53BP1,avg_elastic_pro,0.360969,0.130706,0.861206,2.27E-50,0.84292,5.90E-47,0.710447
protein_ERCC1_Caution,avg_elastic_pro,0.239799,0.058607,0.609622,2.22E-11,0.511016,2.05E-10,0.292307
protein_ERK2_Caution,avg_elastic_pro,0.257188,0.066246,0.829055,1.02E-37,0.796244,4.57E-33,0.683226
protein_ETS-1,avg_elastic_pro,0.287387,0.082778,0.771777,1.82E-32,0.76368,1.27E-32,0.586488
protein_FASN,avg_elastic_pro,0.351934,0.12401,0.900977,2.90E-57,0.883126,9.87E-55,0.806683
protein_Fibronectin,avg_elastic_pro,0.437909,0.192242,0.953484,6.73E-88,0.934857,8.85E-73,0.908295
protein_FoxM1,avg_elastic_pro,0.321214,0.103513,0.873826,9.22E-56,0.852832,9.19E-49,0.75939
protein_FOXO3a_Caution,avg_elastic_pro,0.272868,0.074877,0.751551,6.81E-29,0.707457,6.68E-26,0.523207
protein_FOXO3a_pS318_S321_Caution,avg_elastic_pro,0.173662,0.030229,0.620522,1.65E-14,0.595123,4.21E-13,0.368731
protein_FRA1_Caution,avg_elastic_pro,0.313479,0.098705,0.903393,1.59E-58,0.887549,5.09E-59,0.812995
protein_G6PD,avg_elastic_pro,0.368301,0.136563,0.93986,1.75E-78,0.879188,1.88E-52,0.881262
protein_A-Raf_pS299_Caution,avg_elastic_pro,0.232857,0.054636,0.749025,5.32E-28,0.719816,7.24E-27,0.551145
protein_Gab2,avg_elastic_pro,0.336289,0.113565,0.962026,9.49E-96,0.959201,2.89E-92,0.922706
protein_GAPDH_Caution,avg_elastic_pro,0.475758,0.226432,0.882687,5.48E-50,0.871909,6.56E-47,0.776257
protein_GATA3,avg_elastic_pro,0.345722,0.119773,0.913137,3.65E-54,0.788585,2.96E-35,0.82799
protein_GSK-3-BETA_Caution,avg_elastic_pro,0.240874,0.058098,0.846361,4.84E-44,0.829093,1.56E-38,0.710737
protein_GSK3-alpha-beta,avg_elastic_pro,0.20352,0.041589,0.783636,3.34E-29,0.744236,2.13E-22,0.605324
protein_GSK3-alpha-beta_pS21_S9,avg_elastic_pro,0.347494,0.120916,0.82605,2.55E-42,0.809553,2.33E-39,0.669812
protein_GSK3_pS9,avg_elastic_pro,0.325686,0.106323,0.853038,1.43E-48,0.84592,8.45E-45,0.719272
protein_HER2,avg_elastic_pro,0.380079,0.144804,0.938393,2.76E-76,0.886739,3.04E-54,0.879802
protein_HER2_pY1248_Caution,avg_elastic_pro,0.280073,0.078639,0.941593,5.19E-76,0.877949,5.44E-52,0.884274
protein_HER3,avg_elastic_pro,0.242117,0.058658,0.931449,4.71E-75,0.921084,1.82E-65,0.865861
protein_ACC_pS79,avg_elastic_pro,0.360391,0.130083,0.860213,1.12E-51,0.847862,1.37E-48,0.729059
