,symbol
159,ZNF706
160,MIR5701-2
161,LINC02344
162,RETREG1
163,PWWP3B
164,CFHR1
165,DEFB108B
166,KRT33B
167,IFT74
168,SAMD12
169,ZC3HC1
170,MIR4469
171,ZNF713
172,STAG3L3
173,LINC00879
174,SNORA111
175,IL17REL
176,TBC1D22A
177,LBHD2
178,CLEC5A
179,DGCR6L
180,MRPS33
181,STK26
182,MKX
183,BCAT1
184,MIR5687
185,NARS2
186,IFNA10
187,CROT
188,MIR548I3
189,ZNF385A
190,JHY
191,LIX1L-AS1
192,LAMA1
193,UTP14A
194,ADCYAP1
195,CTAGE11P
196,OR8S1
197,MIR7107
198,PRKRA
199,SLC35B4
200,CASD1
201,ARHGDIB
202,ACOT9
203,PTPRD
204,FAM25G
205,LOC105373383
206,SOWAHD
207,CFHR4
208,INE2
209,CALB1
210,S100A9
211,SNORA49
212,LOC101927248
213,TRMT12
214,METRN
215,OR4A16
216,MIR4529
217,GSX2
218,FOXA2
219,MIR501
220,MIR4320
221,SPRR1B
222,APBA2
223,CFP
224,TMEM252
225,LOC101928068
226,SNORA70G
227,LINC00501
228,ACTRT1
229,MIR548AJ2
230,UGT2B15
231,RNF144B
232,LILRB5
233,CADM2-AS2
234,MIR548AA1
235,LOC100996318
236,MCRS1
237,C20orf27
238,SATL1
239,EMID1
240,DBET
241,VAPA
242,LINC02593
243,RUNDC3B
244,ZNF131
245,GPR143
246,L3MBTL4-AS1
247,HEPN1
248,RGP1
249,MIR4675
250,SDHAP1
251,GAGE6
252,LOC105377777
253,NR2C1
254,CSF3
255,ARHGAP44
256,ITCH
257,GUCA1B
258,HEYL
259,KRTAP29-1
260,HLA-DRB5
261,SYCP1
262,CSMD3
263,LINC02027
264,PDCD1LG2
265,MRPL15
266,LINC01358
267,COL9A3
268,KCNK6
269,CBLL2
270,ZBP1
271,C18orf15
272,NBPF14
273,PDGFD
274,LUM
275,TAS2R4
276,ZNF275
277,LOC110091776
278,LINC01566
279,LINC00106
280,RABEP1
281,MIR5195
282,LOC100506585
283,COLCA2
284,LOC100505782
285,KRTAP9-2
286,MSRB2
287,MIR6817
288,ORC5
289,FAM30A
290,OR4K15
291,FLJ46284
292,ATP11A
293,IFNA5
294,LINC01902
295,SERPINH1
296,CTTNBP2
297,LINC01414
298,LINC01994
299,RAB9A
300,C19orf33
301,SLC25A51P1
302,LOC100506937
303,CXXC1
304,LY96
305,LINC01350
306,NUDT10
307,MIR6866
308,CRYBB1
309,LOC101927168
310,LOC101927798
311,SASH3
312,CYREN
313,LOC100506858
314,LINC01281
315,ERCC6
316,BRCC3
317,LOC107984341
318,MIR605
319,PRICKLE2
320,MIR4699
321,FABP5
322,HAUS7
323,PDE1B
324,C12orf56
325,CDK6
326,CDKN2B
327,OR7E5P
328,NAPB
329,MAPK8IP1
330,PSMA8
331,DDX1
332,KIAA1549L
333,USP17L15
334,OR4Q3
335,MINDY1
336,RADX
337,MAPK8
338,GRK2
339,GGTLC3
340,GAGE12I
341,TNXB
342,INTS6L-AS1
343,LINC01602
344,OR5AC2
345,FTSJ1
346,FUT10
347,RTL9
348,FLJ44635
349,STYK1
350,LOC100506016
351,LINC00379
352,TRPS1
353,SLC25A5
354,EIF1AX-AS1
355,PAX4
356,VSIG4
357,MIR519B
358,ENHO
359,ATXN8OS
360,CTXND2
361,MIR499A
362,LRP5
363,ACTBL2
364,LINC02617
365,NBPF10
366,ARHGAP20
367,ST8SIA6-AS1
368,PEG10
369,ZNF337
370,GGTLC2
371,GAGE13
372,KCNK16
373,CFHR3
374,MIR1912
375,BEX5
376,LINC01099
377,LINC00622
378,OR10AG1
379,TUBB1
380,WASHC5
381,DNAH9
382,OR4K5
383,CHMP4C
384,DGAT2
385,SRPX
386,LOC730098
387,MBD2
388,LINC01488
389,CD276
390,LINC00299
391,OR2A7
392,WHAMMP3
393,UBE2DNL
394,SIGLEC15
395,USP17L26
396,LOC101927657
397,MIR383
398,LOC101926948
399,PVALEF
400,PLCB4
401,MIR3118-1
402,TCEAL4
403,MIR4661
404,CHM
405,GAGE2A
406,MGP
407,PSPH
408,NRG1-IT1
409,TMEM135
410,CDKN2B-AS1
411,RTL8B
412,MIR4286
413,DANT2
414,ASB10
415,ZNF519
416,AOC1
417,SH3KBP1
418,ALG9
419,MSMB
420,LINC00353
421,KIAA2026
422,POGLUT3
423,RPGR
424,PIK3CD
425,LINC01419
426,CSH1
427,USP17L7
428,KREMEN1
429,FSHB
430,LINC01531
431,UVRAG-DT
432,RNF139-AS1
433,ESX1
434,OR5D18
435,MOCOS
436,PSG1
437,SPINT2
438,FASTK
439,LOC105375115
440,ELFN1-AS1
441,LGALS9
442,SNHG22
443,IFNA14
444,MIR4307
445,PNMA6F
446,OR4A5
447,FAM157C
448,ASB8
449,PI4KB
450,RBM3
451,FOXD4L1
452,LOC101927284
453,KRT28
454,LNCRNA-ATB
455,FGF4
456,LOC101928617
457,PDZD4
458,DCAF5
459,TMEM178B
460,LINC00710
461,LINC01497
462,DACH1
463,LOC100128276
464,MAPK8IP2
465,AMBRA1
466,GINS1
467,CASP12
468,MIR4641
469,C12orf74
470,ARX
471,PLEKHA2
472,EMD
473,LINC01410
474,MIR504
475,MIRLET7F2
476,GPRIN2
477,OTUD6A
478,WARS2-IT1
479,STMN2
480,OR2T11
481,PRR20D
482,LINC01264
483,HTR7P1
484,CTDSP2
485,KITLG
486,CD82
487,PDCD6
488,KCNK9
489,SCFD2
490,NUB1
491,PDXK
492,PRDX4
493,D21S2088E
494,PURPL
495,CWF19L2
496,GREB1
497,MID1
498,LOC645188
499,LINC01433
